game_name,box_txt,game_tag,game_intro
模拟山羊：收获日,开发：Coffee Stain Studios | 网络：单机 | 类型：策略经营,"3D,搞怪",《模拟山羊：收获日》是由Coffee Stain Studios出品的一款策略经营游戏。第一步，逃出动物园。 第二步，闯入银行。本作是目前为止最真实的山羊模拟游戏！扮演4个新的主要暴徒——一只飞翔的火烈鸟、一只坐在轮椅上的海豚、一只吐痰的骆驼和一只真的非常英俊的山羊。【游戏特色】• 四只棒极了的全新主要山羊，认真地说，这些家伙非常像 Al Pancake 电影中的人物。• 一只可以飞翔并控制人类的大脑，另一只可以用轮椅爬上任何表面，第三只可以吐出它在后背储存的水（呕···）。• PRANKNET - 一个装满了你的组员要做的愚蠢“工作”的数据库。但谁在乎呢。他们的薪水很高。• 购买面具来伪装你的身份，或者只是为了扮酷。• 有大约14个新的突变体待解锁。• 我说过你可以驾驶车辆吗？
火炬之光,开发：RUNIC Games | 网络：网游 | 类型：动作角色扮演,3D,《火炬之光》移动版是由原暴雪娱乐北方三巨头之一，被誉为“暗黑之父”的Max Schaefe创建的Runic Gamesr工作室出品、国内由完美世界代理的MMORPG游戏。《火炬之光》移动版沿袭了端游的美术风格，不仅融合了暗黑游戏中丰富的装备和物品、炫酷的装备掉落等经典元素，在原版《火炬之光》中备受玩家欢迎的宠物系统和钓鱼系统也都得到了充分保留。本作中的剑士和灵狐并不局限于传统的近战战士和远程法师，而是可以通过主技能和副技能的自由组合和搭配，让职业的玩法更佳丰富。技能的自由组合搭配也是《火炬之光》移动版的特色玩法之一。
航海王：燃烧意志,开发：BANDAI NAMCO、阿里游戏 | 网络：网游 | 类型：角色扮演,"二次元,改编,3D",航路不止，燃梦不熄！《航海王：燃烧意志》为正版授权的、中国大陆首款ONE PIECE 3D 大型MMO手机游戏。游戏中全3D场景主机级表现，原版殿堂级声优倾情献声，原汁原味体验动画经典角色!更有实时真人组队同屏回合对战，无限combo畅快对决，完美立体呈现原作动画!重温航海王的热血与感动，尽享最强战斗快感，2017不容错过的航海之旅等你来冒险！经典角色！更有实时真人组队同屏回合对战，无限combo畅快对决，完美立体呈现原作动画！航海王：燃烧意志下载后重温航海王的热血与感动，尽享最强战斗快感，2017 不容错过的航海之旅等你来冒险！
异形：断电,开发：D3 Go! | 网络：单机 | 类型：冒险,"科幻,惊悚恐怖,3D,高画质",【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《异形：断电》由D3 GO!开发，游戏将会是是一款生存恐怖游戏。在游戏中，玩家将会被困在发生故障的维兰德-尤坦尼的空间站中，在这个空间站中，会有一只非常凶猛的异形不知疲倦地追杀你和船员们，而你需要在这险恶的环境中努力生存下来。玩家需要使用计谋策略来打败异形，而这往往是非常冒险的选择，玩家需要利用各种空间站的损坏的控制器来击败异形，或者牺牲其他船员来保全自己，而你的选择将会永久地改变游戏的结果。《异形：断电》将会包含七个无比恐怖的关卡，玩家将会扮演Amanda Ripley的船员，利用空间站的应急系统来引导其他船员顺利通过各种极具挑战性的任务。【关于汉化】本作为汉化版，感谢零壹汉化组的辛勤劳动！微信公号：lingyihanhua
航海王：万千风暴,开发：NAMCO BANDAI | 网络：单机 | 类型：角色扮演,"3D,二次元",【iOS版注意事项】本游戏需要台区帐号才能下载安装。【游戏介绍】《航海王：万千风暴》是一款由NAMCO BANDAI开发的角色扮演游戏。游戏主要内容为团结所有海盗，玩家在游戏中可以组成三人队伍，通过事实的对决，对财富和势力惊进行角逐。现已确认出现的人物有：路飞、索隆、乔巴和特拉法尔加。不同于动漫画风，游戏采用了3D画面来表现游戏。
快乐轮子,开发：Jim Bonacci | 网络：单机 | 类型：益智解谜,"街机,横版卷轴,重力感应",《快乐轮子》是由Happy Wheels开发的一款横版过关游戏。游戏虽然有着简单的规则——开车到达终点即可，但反人类的操作、坑爹的陷阱、血腥的场景都告诉玩家：这不是一款小清新作品。
刀塔霸业,开发：Valve | 网络：网游 | 类型：策略游戏,奇幻,【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《刀塔霸业》是一款全新的独立版本游戏。在游戏里，你会与七名对手激烈斗智，组建阵容，组合英雄，不断升级，争夺对白色尖塔城的统治权。在这款游戏里，获胜靠的不是微操作，而是高强的战略。
不义联盟2,开发：Warner Bros. | 网络：单机 | 类型：格斗,"3D,二次元",【安卓版注意事项】卡在游戏初始画面或训练关的玩家请尝试使用代理进行游戏，推荐使用美国节点。【iOS版注意事项】本游戏需要菲律宾区帐号才能下载安装。【游戏介绍】《不义联盟2》是由Warner Bros.出品的一款动作格斗游戏，是游戏《不义联盟：我们之中的神》的续作。在游戏中，玩家可以使用DC漫画旗下各路英雄，包括蝙蝠侠、超人、闪电侠等进行大乱斗。游戏引入了新的功能，玩家将可以自定义和升级他们喜欢的超级英雄或者超级恶棍。游戏将延续一代的故事，蝙蝠侠和他的盟友一起，在重建社会秩序的同时还要对抗想要恢复超人政权的敌人们。游戏中将收录有史以来最多的DC角色，包括蝙蝠侠，超人，女超人，水行侠，阿托希塔斯和哥德大猩猩。战斗场景设定在标志性的舞台，比如大都市，歌谭市和亚特兰蒂斯。
脸部跳舞机,开发：Diffcat | 网络：单机 | 类型：益智休闲,,"【安卓版注意事项】出现无法进入游戏的情况，请尝试使用代理进入游戏。

【游戏介绍】《脸部跳舞机》是由Diffcat出品的一款益智休闲游戏，完全不同于市面上的任何一款产品，玩家将通过摄像头，摆出各种夸张的表情来进行游戏。通过使用相机技术来检测玩家的面部进行实时游戏，玩家的脸部跳的越好，所获得的分数也就越高。"
狂野飙车9：竞速传奇,开发：Gameloft | 网络：单机 | 类型：赛车竞速,"高画质,3D",发动引擎，加入全世界最优秀，最无畏的街头车手职业圈，继《狂野飙车8：极速凌云》的缔造者之后，再次成为下一代的狂野飙车传奇。《狂野飙车9：竞速传奇》中为您准备了大量的真实顶尖超跑，与其他任何游戏中的都有所不同，它们来自于如Ferrari、Porsche、Lamborghini和W Motors等知名赛车制造商。您可以自由挑选所需的梦幻飞车驶过风景壮美的地点，与来自全世界的速度怪兽一较高下。在高速道路上狂飙，超越极限，成为赛道传奇吧！【掌上的平台级游戏体验】投身于最超现实的模拟街机竞速游戏中，驾驶细节精湛的真实赛车，感受炫酷的HDR技术，震撼的视觉和粒子效果，每一场竞速都如同一场真实的赛车电影大片。【最负盛名的赛车】收集超过50辆全球最优秀的速度机器。每一款酷炫赛车都是根据其美学设计和顶尖驾驶性能而精心挑选出来的，这是狂野飙车系列游戏迄今为止最理想的赛车阵容。【指间定制化】利用全新的车辆编辑器准确定义车辆的颜色和材质。您还能够选择轮毂等部位的颜色，从而在赛道上展现出完美的外观。【极品街机乐趣】填充氮气条，释放终极氮气脉冲，获得让你的赛车能够突破音障的终极加速！随时双击刹车完成360°回旋，用超炫风格击败你的多人游戏或AI对手，享受你身后的一地狼藉吧！【成为街头传奇】在生涯模式中开启你的街头之旅，完成超过60个赛季和800余项赛事。在线上多人游戏模式中，与多达7名来自全世界的玩家对手展开竞速比拼，成为真正的狂野飙车传奇车手。【终极竞速操控】熟练掌握全新驾驶操控方式——创新的TouchDrive，它能极大简化赛车的转向操作，让你的大脑解放出来，专注于街机乐趣和极速体验。【数量制胜】狂野飙车系列游戏有史以来首次您可以利用车友会功能，吸纳志同道合的车手朋友，创建您自己的线上社区。与您招揽的速度奇才们齐心协力，拿出最佳表现，在多人游戏俱乐部排行榜上一路攀升，解锁最佳里程碑奖励。这是为免费游戏、街机竞速、快速驾驶、漂移甩尾、车流穿梭以及氮气充能的强力引擎爱好者们设计的完美游戏！_____________________________________________访问我们的官方网站：http://gmlft.co/website_ZH-HANS别忘了关注我们的社交媒体：官网微博：Gameloft中国微博地址：http://gmlft.co/SNS_WB_CH官网微信：GameloftCN查看我们的视频和游戏预告片：http://i.youku.com/gameloftchina《隐私权政策》：http://www.gameloft.com/zh-hans/privacy-notice《使用条款》：http://www.gameloft.com/zh-hans/conditions-of-use《最终用户许可协议》：http://www.gameloft.com/zh-hans/eula
昏迷：禁入校园,开发：DODAM GAMES | 网络：单机 | 类型：冒险,"惊悚恐怖,高画质,横版卷轴",一个被杀人犯追逐的噩梦始于一所被遗弃在黑暗中的学校。你能快速逃离噩梦教室吗？《The Coma: Cutting Class》是一款2D恐怖生存游戏，背景设置在一所废弃的高中。穿过充满危险的景象和陷阱的闹鬼学校。学校地狱般的走廊并不是你唯一必须排除的障碍。你的同班同学们和老师们都变成了可怕的鬼怪，他们会不停地追逐你。在这种难以想象的情形下，你可以做的选择很明确：找出自己是怎么来到这里的然后逃离这场噩梦。不走运的是，你的学校和它的居民们看起来有别的打算。▣ 美化&更新过的画质 ▣一个全新的恐怖主题，有着更新过的画质和动画，能让你的背脊一阵阵发凉！▣ 移动版的简单操控 ▣体验100%为移动界面优化了的《The Coma: Cutting Class》。▣ 活下来是不容易的 ▣你可靠的背包里放东西的空间有限。确保带上必须物品！▣ 屏住呼吸 ▣蜷缩在一个黑暗的角落、屏住呼吸，然后期待最好的结果吧。不过这是有代价的，因为你的体力会慢慢耗尽！▣ 躲避 ▣Youngho能够敏捷地躲开杀手的致命武器，但这只是无计可施时的办法！▶▶ The Coma: Cutting Class的特征 ◀ ◀⊙ 2D 手绘视觉插图⊙ 仔细听暴露杀手靠近声音的脚步。⊙ 逃跑躲开世界上最冷酷的精神病杀手。⊙ 四处探索时避开有毒的触手和爪影。⊙ 去找能解开Sehwa高中之谜的笔记和线索。⊙ 和被困在这里的其他人合作。但，他们可信吗？⊙ 在杀手搜寻你的紧张时刻蜷缩在阴影中。⊙ 通过地图、笔记和探索揭开你学校的惊人之谜。
三国BLADE,开发：Game Dreamer MY | 网络：网游 | 类型：动作,"3D,三国","【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】【三国Blade】由UE4引擎强力打造，动感细腻画质完美呈现 ，超流畅打击节奏与动感，正式超越过去游戏史上的一切传说，华丽的交锋即将撼动大地！君临天下！【畅快COMBO，高端操作淋漓体验】由4:33携手ActionSquare联合打造，特别着重节奏体现出来的淋漓快感 和畅快COMBO的打击感，超优质震撼的画面，让你爱不释手。【画质巅峰，UE4倾力铸造】凭借着Unreal Engine 4引擎强大的表现力,使得游戏中的武将细节及场景特效等都彰 显的相当华丽。 直接超越现世代最高端游戏规格的超优秀质量画面。【乱世大战，枭雄并起欲吞天下】东汉时期，看似永恒的皇朝，因为昏庸的皇帝与腐败的官僚，开始没落。 这时，把握乱世，意图并吞天下的人出现了......超丰富多元化的交互与探索功能元素、不同团队增益效果的武将多样化组合，让每一位传说中的名将各自的能力都能发挥极致。 这时，引导历史巨轮的你，将在这乱世之中，创建属于自己的皇朝。【皇城建造，重写历史创造经典】有着超凡ARPG游戏的高水平质量，同时还在收集三国名将的基础上还加入了扩张建筑 、资源生产等策略元素玩法，让你的武将和皇城每时每刻在逐渐强大。"
这是我的战争：父亲的承诺,开发：11 bit studios | 网络：单机 | 类型：策略,"战争,高画质,生存",【安卓版注意事项】本游戏需要谷歌市场及谷歌框架才能开始游戏。【游戏介绍】《这是我的战争》推出新的DLC“父亲的承诺”（Father's Promise），讲述了在残酷世界一个保留人性家庭的故事。在《这是我的战争：父亲的承诺》中，游戏加入新的情节、机制、道具，玩家要扮演父亲亚当，带着自己的女儿远离战争，体验一段关于失落与希望的故事。如果你喜欢《这是我的战争》这款游戏，一定不要错过这个新DLC。亚当—一位渴望带着女儿远离战争恐惧、逃出围城的父亲。跟随他们的脚步，感受发生在最黑暗的日子里、充斥着爱恨得失的故事。这是一个发生在被战争摧残的城市、关于失落与希望的心碎故事。故事讲述了一个家庭在绝望与残酷的时代里如何保留仅存的人性。– 根据波兰著名作家乌卡什·俄比托夫斯基编著的广播连续剧而改编的全新剧情。– 4个全新场景– 5个重构并修复的场景– 新的游戏机制：对话和线索查找机制– 一系列基于新故事的道具
刺客信条：本色,开发：Ubisoft | 网络：单机 | 类型：动作,3D,《刺客信条：本色》是一款由Ubisoft开发的动作游戏。本作舞台设定于12世纪的欧洲，玩家将扮演身怀绝技的刺客，在建筑物间飞檐走壁，使用换装技能混入人群，一击刺杀目标人物。除了暗杀玩法，游戏还强调角色养成，玩家从任务中获取的装备和经验将不断提高刺客身体素质，获得更强大的刺杀能力，游戏将以此为基础，为玩家展开充满神秘色彩的刺客世界。
AnimA ARPG,开发：Exilium Games | 网络：单机 | 类型：角色扮演,奇幻,《Anima》是一款装备驱动的动作角色扮演游戏，灵感来自最伟大的经典RPG游戏（比如《Diablo》），由RPG爱好者饱含激情倾力之作，于2019年发布。与其他移动端ARPG相比，《Anima》具有很高的动态性，使玩家有机会根据其游戏风格完全自定义其角色，并保留了经典RPG的迷人风格。
恶魔城：灵魂魔咒,开发：KONAMI | 网络：单机 | 类型：角色扮演,"横版卷轴,奇幻,街机,高画质",《恶魔城：灵魂魔咒》是《恶魔城》系列的手游作品，讲述了在德古拉伯爵失败之后，世界似乎迎来了永久的和平。然而，主角收到一封标志着和平时代结束的信件：“恶魔已经失去控制，德古拉伯爵已然复活。”为了确定信件内容的真相，英雄决定动身前去拜访寄信人。游戏支持多人模式，玩家可以4人合作共斗，也能进行4v4的对决，游戏中也收录了可收藏的音乐和德古拉的新故事等内容。
第五人格,开发：网易 | 网络：网游 | 类型：冒险,"国产,惊悚恐怖",《第五人格》是网易首款非对称性对抗竞技手游。荒诞哥特画风，悬疑烧脑剧情，刺激的1V4“猫鼠追逃游戏”的对抗玩法，都将给玩家带来全新的游戏体验。玩家将扮演侦探奥尔菲斯，在收到一封神秘的委托信后，进入恶名昭著的庄园调查一件失踪案。在进行证据调查过程中，玩家扮演的奥尔菲斯将采用演绎法，对案情进行回顾。在案情回顾时，玩家可以选择扮演监管者或求生者，展开激烈的对抗。而在调查的过程，无限接近事实时，却发现越来越不可思议的真相。【游戏特色】-哥特式黑暗画风 荒诞诡异升级乌鸦盘旋在夜空，雾气弥漫的树林，在神秘莫测的游戏氛围中，演绎埋藏在高加索山脉群中一起不为人知的连环案件。维多利亚时代的史实元素，暗黑布偶化的人物角色，黑白怀旧的动画风格，真相默默隐于表象的细节之中。-狂欢的庄园游戏 隐藏神秘案件“……就像一头即将被深渊溺毙的野兽，一边将自己伪装成怪物，害怕将其他人卷入其中，一边却又渴望着救赎……”在幽暗深处的庄园里，众多的受邀者在游戏狂欢过后仍未意识到自己身处于黑暗的漩涡中，再也分不清善良与邪恶。-1V4非对称对抗 追逃求生体验玩家在游戏中可扮演求生者和监管者两种角色，四个求生者的目标是破译5个密码机从大门逃脱，监管者的目标则是淘汰所有的求生者。游戏中，玩家利用角色的专属技能或者道具，在一场场追逃游戏中感受心跳的刺激与策略博弈的畅快。-个性角色全收集 探秘故事真相每个角色的背后都藏着不为人知的故事，或是为了金钱，或是为了恩怨，或是为了爱情，他们同时受邀来到这个神秘庄园。玩家通过代入进游戏角色，重演案件发生时的过程进行线索推演，案件真相的迷雾不会永远笼罩。【关注我们】如果您喜欢我们的游戏，请关注游戏官网、官方微信公众号、官方微博、官方论坛、官方贴吧获取更多游戏动态。欢迎您随时给我们评价、留言。《第五人格》官方网站：http://id5.163.com/《第五人格》官方微信公众号：identityV《第五人格》官方微博：@网易第五人格《第五人格》官方论坛：http://id5.16163.com《第五人格》官方贴吧：https://tieba.baidu.com/第五人格《第五人格》官方①群：656810883《第五人格》官方②群：622808592《第五人格》官方③群：255580752《第五人格》官方④群：671962739《第五人格》官方⑤群：630493632《第五人格》官方⑥群：527514328《第五人格》官方⑦群：534212206
NBA 2K17,开发：2K | 网络：单机 | 类型：体育,"3D,硬件杀手",【安卓版注意事项】下载完apk文件后，需要联网启动手游安装器继续完成安装。注意系统空间需要预留出游戏大小的2倍以上空间才可安装。【游戏介绍】《NBA 2K17》是由2K出品的一款篮球体育游戏，是《NBA 2K》系列作品。相较于前作，游戏改变了游戏操控方式且支持实体控制器，并且加入了更有深度的MyCAREER模式，涵盖了大学球赛、休赛日仿真器、全新MyPLAYER装备与属性选项、升级过的徽章系统等等。玩家可以玩到全新的历史著名球员，有新球队加入的扩展欧洲联盟，还增加了替换用的球队球衣。
北欧女神：蕾娜斯,开发：SQUARE ENIX | 网络：单机 | 类型：角色扮演,像素,【安卓版注意事项】请断开网络后再进行游戏。【游戏介绍】《北欧女神：蕾娜斯》是由SQUARE ENIX出品的一款角色扮演游戏，本作是《北欧女神：蕾娜斯》PSP版的复刻版本。游戏除了还原了PSP版的内容外，还将配合手游用户的操作习惯进行提升，让玩家轻松体验这款人气RPG的魅力。游戏以北欧神话世界为舞台背景，玩家将化身命运三女神之一的蕾娜丝，随着与各式各样的人们死亡的相遇而不断成长。
少女前线,开发：云母组 | 网络：网游 | 类型：策略,二次元,《少女前线》是由云母组研发、数字天空运营的一款战术策略养成类游戏。游戏延续了独立游戏《面包房少女》的世界观，时间设定在第三次世界大战之后，人类社会的秩序遭到严重破坏，世界和平必须依赖安全承包商才能得以保障，而玩家在游戏中扮演安全承包商旗下的一名指挥官，每位指挥官都需要领导战术少女们完成作战任务。游戏里，作为指挥官的玩家，不仅需要精通战术思想，还需要审时度势。一方面需要指挥并部署每一个战术少女小队来争夺区域地图中的资源点；另一方面还需要支援和指挥每一场突发的遭遇战。
黑色沙漠,开发：Pearl Abyss | 网络：网游 | 类型：角色扮演,3D,【安卓版注意事项】本作需要Google Play支持并使用代理才能开始游戏。【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】《黑色沙漠》是一款由PERAL ABYSS制作、DAUM发行的MMORPG游戏。游戏讲述了在这个巨大的虚幻世界中，几大国家为争夺一个名为“黑石”的资源而发起了长久不断的战争，“黑石”是一种能提供奇异力量的古代文明产物。而玩家则成为了这动荡不安的异大陆冒险者。
不死军团,开发：10tons Ltd | 网络：单机 | 类型：角色扮演,奇幻,成为一名死灵法师并驱使死者——《不死军团（Undead Horde）》是一款带有RPG、策略和动作要素的死灵法术游戏。你将与曾经把死灵法师与不死生物们从这个世界上驱逐的生者们作战。复活各式各样的生物、建立一支最多可达100名不死生物的军团吧。你可以下令你的军团跟随你本人，或是主动出击。- 探索并征服一个从人类到巨蝎应有尽有的奇幻世界- 将杀死的敌人重新复活，壮大你的不死大军- 数不清的武器、饰品和魔法道具- 不断升级，打造出属于你的最恶的死灵法师- 将战利品出售，和众多商人交易来购买商品- 商店同样可以升级管理
王国5：继承者,开发：IWPLAY WORLD | 网络：网游 | 类型：角色扮演,,【安卓版注意事项】本游戏需要谷歌市场及谷歌框架才能开始游戏。【iOS版注意事项】本游戏需要港区帐号才能下载安装。【游戏介绍】韩系高质感画面 X 原声韩文配音！精美角色3D建模，超华丽大招CG，战斗畅快爽度爆表！创造独特“时间静止”玩法，百变外观造型变化，带给你视觉上的极致飨宴！【来自五个王国的百种英雄】上百个来自各个时空的英雄，不同的故事，独特的技能，等你入手！【超韩画面呈现，极限精致唯美】精致UI、icon、动画模块！ 每只角色皆拥有独特大绝动画，华丽放招震撼度爆表！【时间静止系及时战略指挥】战斗中随时时间静止，全角色指挥好战术后一键再开！【超帅必杀 多元技能】各种超帅的独特英雄技能，配合多元的技能，穿上专属神级装备和恶魔宝石，创造出属于自己的原创战术！
永远的7日之都,开发：网易 | 网络：网游 | 类型：角色扮演,二次元,《永远的7日之都》是一款由网易制作与发行的角色扮演类游戏。这款都市幻想题材的RPG，以多英雄操纵即时战斗为主要玩法，拥有错综复杂的多剧情线可供探索挖掘，剧情与战斗体验都极其丰富。此外，该作还邀请到了日本音乐大师川井宪次作为音乐监制，以及数十位知名声优助阵。身临最精彩的游戏故事，开启属于你的7日之都篇章。【官方网站】http://f7.163.com/
最后的神迹：重置版,开发：SQUARE ENIX | 网络：单机 | 类型：角色扮演,"奇幻,回合制,高画质","【安卓版注意事项】该应用程序所需的总内存约为6.1GB。下载此应用程序之前，请检查设备上是否有足够的内存。在游戏进行过程中，将需要大量下载。您还可以通过标题屏幕提前下载所有游戏数据。由于此应用程序的大小，下载可能需要较长时间。【游戏介绍】《最后的神迹》首次发行于2008年，其令人着迷的故事，无数的角色和错综复杂的战斗系统吸引了玩家的心。现在，这个经典的RPG回来了——《最后的神迹 重置版》！通过更新的游戏引擎,进一步增强了Android的图形美感。【故事】世界由四个种族构成：Mitra，Yama，Qsiti和Sovani。在这个世界上，自古以来就存在着称为“神迹”的神秘物体。谁创建了这些“神迹”？什么时候？出于什么原因？没有人知道，也没有办法知道——但是人们知道，可以提取和利用“神迹”的巨大力量。但是，“神迹”的巨大力量逐渐使世界失去了平衡。世界最终四分五裂——漫长无尽的战争，开始了。一千年后——我们的故事，即将上演【游戏特色】独特的战斗系统场景不断变化的命令式战斗与战场上的敌人接触将触发战斗制定战略——根据友军和敌军的位置和状态而不断变化，发布命令友军士气极大地影响了战斗的结果在战斗中，士气表达了友军和敌军的个人和团体的精神士气高涨具有有利的作用，例如增加攻击力以造成更多伤害，或减少敌人造成的伤害"
商店英雄,开发：cloudcade | 网络：网游 | 类型：模拟经营,,海外最佳奇幻模拟经营大作《商店英雄》登陆国服！研发商Cloudcade正版授权，全新的模拟商店经营和奇幻冒险手游。荣获Canadian Video Game Awards最佳跨平台游戏，Kongregate最佳新游戏，11个国家和地区AppStore 畅销榜TOP10，全球数百万玩家多数好评。【游戏特色】加入《商店英雄》，经营Aragonia 王国中独具个性的最佳奇幻物品商店，自由装饰你理想的店铺门面，成为终极店主！招募并培训独特技能的员工，制作数百件传奇物品，与百万玩家实时交易互通有无；招募并武装你的超级英雄，进行5V5排位大战，开启奇幻的地宫冒险之旅。邀请好友组建城市，共同投资建设，打造王国中排名最高的城市传奇。【官方网站】http://sdyx.xoyo.com
NBA 2K20,"开发：2K, Inc. | 网络：单机 | 类型：体育","模拟,高画质",将《NBA 2K20》装进口袋，在移动平台上尽享经典2K篮球世界。本作包含5个全新NBA故事、1条全新辉煌生涯故事线，以及全新的“横扫街头”模式！《NBA 2K20》包含大量游戏模式，从现役和元老NBA球队的5对5篮球到街头篮球，不一而足。完美适应各类玩家的不同口味。【游戏特色】全新的横扫街头模式《NBA 2K》系列首度加入此全新功能。玩家可以带着自创球员进行环球3对3系列街球锦标赛。提升能力和属性，主宰比赛并拿下劲爆连胜。与其他玩家展开竞争，争夺排行榜上的一席之地，看你在冠军之路上能走多远！NBA故事再度回归进行5个全新NBA故事模式游戏，细细品位著名NBA球星和球队的历史。全新辉煌生涯剧情创建自创球员，开始大学到NBA的职业旅程。你的努力能否载入NBA史册？球队模式作为总经理掌管球队。负责阵容管理、球员探查、新秀选拔、预算把控等诸多事宜！多人游戏用全新的“快速匹配”功能可以轻松快捷地找到对手。通过Lan或Google Play Games连接其他玩家，进行5对5或街头篮球比赛。全新2K BEATS原声收纳Drake、Diplo、T-Pain等当红歌手的众多金曲。你的篮球之旅一路都有好歌相伴！
无尽的边界,开发：ekkorr | 网络：网游 | 类型：冒险,"奇幻,街机,美少女,放置","千年以前！！ 有一场历史上没有记载的战斗。为了推翻使世界恐惧发抖的某魔王而组成的“次元骑士团”失败了。英雄“Erin”在临死前发了誓。“重生几次也一定要推翻你！！”他的愿望能实现吗？英雄“Erin”今天也不食言地复活，为了推翻魔王组成了“次元骑士团”【游戏特色】- 开放型游戏之最！！- 自动战斗！！请欣赏眼前有趣华丽的战斗吧！！- 自动给予金子。拥有点击乐趣的探索- 突破4,000 精力！！不断展开的情景战斗！- 今天也复活了吗？请 [复活]，获取或是强化强悍的士兵吧！！- 互相拥有不同能力的100余中强悍士兵！！ 升级！ 强化！ 进化！！ - 消灭20余种独一无二的地下城Boss，获取遗产材料吧！！- 想要特别的能力吗？将数百种珍贵遗物收入囊中吧！！- 从天而来的闪电雨吗？？天使现身？？施展华丽强力的魔法技能吧！！- 在这获取宝石！！ 感受与玩家们的超逼真的多样的PVP战斗吧！！- 给集中的人的礼物哇啦啦啦！！ 点击隐藏在台上的宝箱吧！！"
辐射：避难所中文版,开发：Bethesda Softworks LLC | 网络：单机 | 类型：策略经营,,《辐射：避难所》是一款由Bethesda Softworks LLC开发，盛大游戏代理运营的策略经营游戏。在这款游戏中，玩家必须打造一座地窖，然后在里面培养自己的可爱小居民。当然，管理这座“避难所”的重责大任也会落到玩家肩上，玩家可以建造各种设施、训练自己的居民，并派遣居民外出取得资源。玩家也可以给予居民武器或是服装等等道具。在庇护所中有时也会有意外发生，像是火灾、虫害、甚至是外来入侵者，考验玩家危机处理的能力。而游戏中也可以透过传统的方式来“增加人口”，让男性居民与女性居民配对后就会有婴儿出生。
影之诗,"开发：Cygames, Inc. | 网络：网游 | 类型：卡牌",二次元,《影之诗》是由日本Cygames公司开发，网易游戏代理的一款日式幻想题材卡牌对战手游。日本超人气卡牌手游《影之诗》，是一款强竞技性玩法的日系卡牌手游，由于对战玩法刺激有趣、画面精美、声优阵容强大，因此在日本上线时就获得了玩家的高度好评。自从网易游戏宣布代理《影之诗》，玩家们更加对这款游戏充满了期待。本游戏拥有丰富的战略、独特的进化系统、强竞技性的玩法、华丽的卡牌立绘、上百位超人气声优及原汁原味的日式幻想故事，让玩家在畅快对战同时，在日式幻想大世界中尽享视觉的饕餮盛宴。【游戏特色】《影之诗》具备华丽的日系幻想画风和恢弘大气的背景配乐，战斗系统匠心独具竞技性。玩家在游戏里可以随时随地享受与人对战的乐趣，尽情享受这款刺激烧脑的卡牌竞技大战所带来的快感。而《影之诗》独有的卡牌进化系统，让游戏整体的策略维度获得了极高的提升，超过600种的卡牌，珍稀闪卡还自带华丽动态效果，让对战更加震撼、酷炫，喜爱对战的玩家们届时将能体验到史无前例的视觉感受！【世界观】《影之诗》世界观沿袭了Cygames旗下名作《巴哈姆特之怒》，讲述了在久远的时代，遍地纷争的洪荒世界里，天空中突然出现了迷之法阵“灾厄之树”，笼罩世界的树荫仿佛滋长了人们内心的黑暗。当内心的黑暗充满世界、那扇未知的虚无之门开启的瞬间，故事，由此开始……【游戏职业】游戏共有8种职业，每一位职业都有特有的技能和卡牌，玩家需要通过运用自己的战术和战略来选择出场阵容，十分考验个人的策略。玩家可从8个职业选择自己喜爱的角色，进而组建风格各异的牌组，在对战中使出不同的策略战法。【制作阵容】游戏将由之前曾负责动画版《巴哈姆特之怒：创世纪》的池濑广担任音乐制作，而《影之诗》的声优名单更可谓空前豪华：除了小仓唯、钉宫理惠、樱井孝宏、花泽香菜等等超一线人气声优之外，2010年才出道就迅速蹿红的新生代人气声优石上静香、东山奈央，以及中村悠一、堀江由衣、绿川光、福山润等老牌声优将同台助阵《影之诗》，比如杉田智和就是著名动漫《银魂》的“坂田银时”的声优，而小仓唯则是《天才麻将少女》中的园城寺怜的声优，另外配过《精灵使的剑舞》的优木加奈、《刀剑神域》亚丝娜的户松遥、《钢之炼金术师》古利德的声优中村悠一、《网球王子》迹部景吾的声优诹访部顺一，更不要提代表作无数的樱井孝宏、钉宫理惠、花泽香菜……这些名声大噪的声优们，在二次元爱好者们眼中可以说是再熟悉不过。如此豪华的阵容怎能不期待！除了豪华声优阵容，《影之诗》在美术上更是诚意十足。虫麻吕、相场良祐、久方综司、香川太郎等多位日本知名画师诚意加盟，不仅打造出了让人身临其境、引人入胜的游戏场景，卡牌立绘更是极致华丽、美不胜收。可以说《影之诗》与其他卡牌游戏相比，竞技性更为突出，节奏更加紧凑，而且也更加考验玩家们在对战过程中的策略布局能力，是一款不可多得的卡牌佳作。
植物大战僵尸：西游版,开发：PopCap | 网络：单机 | 类型：策略经营,,"《植物大战僵尸》穿！越！了！这次它们藏身在西游故事中,继续执着地追求着他们梦寐以求、娇鲜欲滴、热气腾腾的脑子……全新40道西游关卡与5大魔王，等您挑战！难以承受的尸山尸海、最严苛的关卡地形条件，该要如何杀出血路？"
